Time [s],Value,Parity Error,Framing Error
0.095756000000000,$,,
0.096796000000000,G,,
0.097836000000000,P,,
0.098876000000000,R,,
0.099916000000000,M,,
0.100956000000000,C,,
0.101996000000000,COMMA,,
0.103036000000000,1,,
0.104075000000000,6,,
0.105115000000000,0,,
0.106155000000000,4,,
0.107195000000000,3,,
0.108235000000000,6,,
0.109275000000000,.,,
0.110315000000000,0,,
0.111355000000000,0,,
0.112395000000000,COMMA,,
0.113435000000000,A,,
0.114475000000000,COMMA,,
0.115515000000000,3,,
0.116555000000000,4,,
0.117595000000000,3,,
0.118635000000000,6,,
0.119675000000000,.,,
0.120715000000000,3,,
0.121754000000000,3,,
0.122794000000000,8,,
0.123834000000000,5,,
0.124874000000000,3,,
0.125914000000000,COMMA,,
0.126954000000000,S,,
0.127994000000000,COMMA,,
0.129034000000000,0,,
0.130074000000000,5,,
0.131114000000000,8,,
0.132154000000000,2,,
0.133194000000000,2,,
0.134234000000000,.,,
0.135274000000000,4,,
0.136314000000000,4,,
0.137354000000000,9,,
0.138394000000000,2,,
0.139433000000000,5,,
0.140473000000000,COMMA,,
0.141513000000000,W,,
0.142553000000000,COMMA,,
0.143593000000000,0,,
0.144633000000000,.,,
0.145673000000000,1,,
0.146713000000000,6,,
0.147753000000000,6,,
0.148793000000000,COMMA,,
0.149833000000000,COMMA,,
0.150873000000000,1,,
0.151913000000000,9,,
0.152953000000000,0,,
0.153993000000000,5,,
0.155033000000000,2,,
0.156073000000000,5,,
0.157112000000000,COMMA,,
0.158152000000000,COMMA,,
0.159192000000000,COMMA,,
0.160232000000000,A,,
0.161272000000000,*,,
0.162312000000000,7,,
0.163352000000000,D,,
0.164392000000000,\r,,
0.165432000000000,\n,,
0.166472000000000,$,,
0.167512000000000,G,,
0.168552000000000,P,,
0.169592000000000,V,,
0.170632000000000,T,,
0.171672000000000,G,,
0.172712000000000,COMMA,,
0.173751000000000,COMMA,,
0.174791000000000,T,,
0.175831000000000,COMMA,,
0.176871000000000,COMMA,,
0.177911000000000,M,,
0.178951000000000,COMMA,,
0.179991000000000,0,,
0.181031000000000,.,,
0.182071000000000,1,,
0.183111000000000,6,,
0.184151000000000,6,,
0.185191000000000,COMMA,,
0.186231000000000,N,,
0.187271000000000,COMMA,,
0.188311000000000,0,,
0.189351000000000,.,,
0.190391000000000,3,,
0.191430000000000,0,,
0.192470000000000,8,,
0.193510000000000,COMMA,,
0.194550000000000,K,,
0.195590000000000,COMMA,,
0.196630000000000,A,,
0.197670000000000,*,,
0.198710000000000,2,,
0.199750000000000,9,,
0.200790000000000,\r,,
0.201830000000000,\n,,
0.202870000000000,$,,
0.203910000000000,G,,
0.204950000000000,P,,
0.205990000000000,G,,
0.207030000000000,G,,
0.208070000000000,A,,
0.209109000000000,COMMA,,
0.210149000000000,1,,
0.211189000000000,6,,
0.212229000000000,0,,
0.213269000000000,4,,
0.214309000000000,3,,
0.215349000000000,6,,
0.216389000000000,.,,
0.217429000000000,0,,
0.218469000000000,0,,
0.219509000000000,COMMA,,
0.220549000000000,3,,
0.221589000000000,4,,
0.222629000000000,3,,
0.223669000000000,6,,
0.224709000000000,.,,
0.225748000000000,3,,
0.226788000000000,3,,
0.227828000000000,8,,
0.228868000000000,5,,
0.229908000000000,3,,
0.230948000000000,COMMA,,
0.231988000000000,S,,
0.233028000000000,COMMA,,
0.234068000000000,0,,
0.235108000000000,5,,
0.236148000000000,8,,
0.237188000000000,2,,
0.238228000000000,2,,
0.239268000000000,.,,
0.240308000000000,4,,
0.241348000000000,4,,
0.242388000000000,9,,
0.243427000000000,2,,
0.244467000000000,5,,
0.245507000000000,COMMA,,
0.246547000000000,W,,
0.247587000000000,COMMA,,
0.248627000000000,1,,
0.249667000000000,COMMA,,
0.250707000000000,0,,
0.251747000000000,5,,
0.252787000000000,COMMA,,
0.253827000000000,7,,
0.254867000000000,.,,
0.255907000000000,6,,
0.256947000000000,8,,
0.257987000000000,COMMA,,
0.259027000000000,6,,
0.260067000000000,3,,
0.261106000000000,.,,
0.262146000000000,1,,
0.263186000000000,COMMA,,
0.264226000000000,M,,
0.265266000000000,COMMA,,
0.266306000000000,1,,
0.267346000000000,3,,
0.268386000000000,.,,
0.269426000000000,6,,
0.270466000000000,COMMA,,
0.271506000000000,M,,
0.272546000000000,COMMA,,
0.273586000000000,COMMA,,
0.274626000000000,*,,
0.275666000000000,6,,
0.276706000000000,6,,
0.277746000000000,\r,,
0.278785000000000,\n,,
0.279825000000000,$,,
0.280865000000000,G,,
0.281905000000000,P,,
0.282945000000000,G,,
0.283985000000000,S,,
0.285025000000000,A,,
0.286065000000000,COMMA,,
